module	venue	status	repo_url	verified_commit	notes
raw_no_correction	local	ready	local	HEAD	Unmodified backbone prediction export; no post-processing.
HalluGuard-SP frozen	local	ready	local:s14_smoothing_cap_selective_router	HEAD	Frozen Stage 14 signal-preserving router; validation-only policy fitting.
HalluGuard stable-harm ablation	local	ready	local:s14_stable_smoothing_cap_router	HEAD	Stage 14 stable-harm ablation for PatchTST harm diagnostics.
matched_sparse_smoothing	local	ready	local	HEAD	Matched sparse smoothing control using the same action rate budget.
naive_smoothing	local	ready	local	HEAD	Full-horizon moving-average smoothing control.
ema_smoothing	local	ready	local	HEAD	Full-horizon exponential moving-average smoothing control.
median_smoothing	local	ready	local	HEAD	Full-horizon median smoothing control.
RevIN	ICLR 2022	verified	https://github.com/ts-kim/RevIN.git	fee40bc6c87cb536d048bcf1c14c4ed644b875e1	Reversible instance normalization for distribution shift.
Dish-TS	AAAI 2023	verified	https://github.com/weifantt/Dish-TS.git	e674d3b94b832491f63a533d60e40a75031d2c75	Model-agnostic distribution-shift plugin.
SAN	NeurIPS 2023	verified	https://github.com/icantnamemyself/SAN.git	7e1ca66251a91a89290846b310145c5f5db3ffc3	Adaptive normalization baseline.
Non-stationary Transformer / NST	NeurIPS 2022	verified	https://github.com/thuml/Nonstationary_Transformers.git	c4ec40675d11d50b3d9923657f408d0db6f90f56	Non-stationary attention/de-stationary factors; compare under fair backbone/protocol constraints.
TAFAS	AAAI 2025	verified	https://github.com/kimanki/TAFAS.git	139bf980671da4daad728a0fc21d8df508b9203d	Test-time adaptation baseline; report any extra-feedback setting separately.
