variant,target,expert,tier,family,tau_gain,tau_harm,lambda,allowed_slices,blocked_configs,allow_aggressive
SafeTAE-mrc-features,safe,sra_safe,safe,boundary,0.45,0.2,0.5,,,False
SafeTAE-mrc-features,safe,sra_balanced,balanced,boundary,0.45,0.2,0.25,,,False
SafeTAE-mrc-features,safe,sra_basic_ablation,balanced,boundary,0.45,0.2,0.25,,,False
SafeTAE-mrc-features,safe,stage3_gated_bp,safe,boundary,0.45,0.2,0.5,,,False
SafeTAE-mrc-features,safe,mrc_ridge_abstain,safe,residual,0.45,0.2,0.5,,,False
SafeTAE-mrc-features,safe,mrc_ridge_residual_blend,balanced,residual,0.45,0.2,0.25,,,False
SafeTAE-mrc-features,safe,volatility_shrink,safe,volatility,0.45,0.2,0.5,,,False
SafeTAE-mrc-features,safe,level_bias_bounded,balanced,level,0.45,0.2,0.25,,,False
SafeTAE-mrc-features,safe,level_bias_light,safe,level,0.45,0.2,0.5,,,False
SafeTAE-mrc-features,safe,amplitude_scale_bounded,balanced,amplitude,0.45,0.2,0.25,,,False
SafeTAE-mrc-features,safe,ensemble_median,safe,ensemble,0.45,0.2,0.5,,,False
SafeTAE-no-mrc-features,safe,sra_safe,safe,boundary,0.45,0.2,0.5,,,False
SafeTAE-no-mrc-features,safe,sra_balanced,balanced,boundary,0.45,0.2,0.25,,,False
SafeTAE-no-mrc-features,safe,sra_basic_ablation,balanced,boundary,0.45,0.2,0.25,,,False
SafeTAE-no-mrc-features,safe,stage3_gated_bp,safe,boundary,0.45,0.2,0.5,,,False
SafeTAE-no-mrc-features,safe,mrc_ridge_abstain,safe,residual,0.45,0.2,0.5,,,False
SafeTAE-no-mrc-features,safe,mrc_ridge_residual_blend,balanced,residual,0.45,0.2,0.25,,,False
SafeTAE-no-mrc-features,safe,volatility_shrink,safe,volatility,0.45,0.2,0.5,,,False
SafeTAE-no-mrc-features,safe,level_bias_bounded,balanced,level,0.45,0.2,0.25,,,False
SafeTAE-no-mrc-features,safe,level_bias_light,safe,level,0.45,0.2,0.5,,,False
SafeTAE-no-mrc-features,safe,amplitude_scale_bounded,balanced,amplitude,0.45,0.2,0.25,,,False
SafeTAE-no-mrc-features,safe,ensemble_median,safe,ensemble,0.45,0.2,0.5,,,False
SafeTAE-expert-thresholds,safe,sra_safe,safe,boundary,0.35,0.25,0.5,,,False
SafeTAE-expert-thresholds,safe,sra_balanced,balanced,boundary,0.35,0.25,0.25,,,False
SafeTAE-expert-thresholds,safe,sra_basic_ablation,balanced,boundary,0.35,0.04,0.25,,,False
SafeTAE-expert-thresholds,safe,stage3_gated_bp,safe,boundary,0.45,0.2,0.5,,,False
SafeTAE-expert-thresholds,safe,mrc_ridge_abstain,safe,residual,0.45,0.2,0.5,,,False
SafeTAE-expert-thresholds,safe,mrc_ridge_residual_blend,balanced,residual,0.35,0.25,0.25,,,False
SafeTAE-expert-thresholds,safe,volatility_shrink,safe,volatility,0.35,0.08,0.5,,,False
SafeTAE-expert-thresholds,safe,level_bias_bounded,balanced,level,0.35,0.25,0.25,,,False
SafeTAE-expert-thresholds,safe,level_bias_light,safe,level,0.35,0.04,0.5,,,False
SafeTAE-expert-thresholds,safe,amplitude_scale_bounded,balanced,amplitude,0.45,0.2,0.25,,,False
SafeTAE-expert-thresholds,safe,ensemble_median,safe,ensemble,0.35,0.04,0.5,,,False
SafeTAE-expert-lambda,safe,sra_safe,safe,boundary,0.45,0.2,0.5,,,False
SafeTAE-expert-lambda,safe,sra_balanced,balanced,boundary,0.45,0.2,0.25,,,False
SafeTAE-expert-lambda,safe,sra_basic_ablation,balanced,boundary,0.45,0.2,0.1,,,False
SafeTAE-expert-lambda,safe,stage3_gated_bp,safe,boundary,0.45,0.2,0.5,,,False
SafeTAE-expert-lambda,safe,mrc_ridge_abstain,safe,residual,0.45,0.2,0.5,,,False
SafeTAE-expert-lambda,safe,mrc_ridge_residual_blend,balanced,residual,0.45,0.2,0.25,,,False
SafeTAE-expert-lambda,safe,volatility_shrink,safe,volatility,0.45,0.2,0.5,,,False
SafeTAE-expert-lambda,safe,level_bias_bounded,balanced,level,0.45,0.2,0.25,,,False
SafeTAE-expert-lambda,safe,level_bias_light,safe,level,0.45,0.2,0.5,,,False
SafeTAE-expert-lambda,safe,amplitude_scale_bounded,balanced,amplitude,0.45,0.2,0.25,,,False
SafeTAE-expert-lambda,safe,ensemble_median,safe,ensemble,0.45,0.2,0.5,,,False
SafeTAE-slice-aware,safe,sra_safe,safe,boundary,0.35,0.25,0.5,"high_gap_low_repair,q4_boundary",,False
SafeTAE-slice-aware,safe,sra_balanced,balanced,boundary,0.35,0.25,0.25,"high_gap_low_repair,q4_boundary",,False
SafeTAE-slice-aware,safe,sra_basic_ablation,balanced,boundary,0.35,0.04,0.25,"high_gap_low_repair,q4_boundary",,False
SafeTAE-slice-aware,safe,stage3_gated_bp,safe,boundary,0.45,0.2,0.5,"high_gap_low_repair,q4_boundary",,False
SafeTAE-slice-aware,safe,mrc_ridge_abstain,safe,residual,0.45,0.2,0.5,"non_boundary,high_volatility,amplitude_mismatch,default",,False
SafeTAE-slice-aware,safe,mrc_ridge_residual_blend,balanced,residual,0.35,0.25,0.25,"non_boundary,high_volatility,amplitude_mismatch,default",,False
SafeTAE-slice-aware,safe,volatility_shrink,safe,volatility,0.35,0.12,0.5,"high_volatility,non_boundary,default",,False
SafeTAE-slice-aware,safe,level_bias_bounded,balanced,level,0.35,0.12,0.25,"high_gap_low_repair,q4_boundary,amplitude_mismatch",,False
SafeTAE-slice-aware,safe,level_bias_light,safe,level,0.35,0.04,0.5,"high_gap_low_repair,q4_boundary,amplitude_mismatch",,False
SafeTAE-slice-aware,safe,amplitude_scale_bounded,balanced,amplitude,0.35,0.25,0.25,"amplitude_mismatch,non_boundary,default",,False
SafeTAE-slice-aware,safe,ensemble_median,safe,ensemble,0.35,0.25,0.5,"high_gap_low_repair,q4_boundary,high_volatility,amplitude_mismatch,non_boundary",,False
SafeTAE-config-veto,safe,sra_safe,safe,boundary,0.35,0.25,0.5,"high_gap_low_repair,q4_boundary","ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/PatchTST/192",False
SafeTAE-config-veto,safe,sra_balanced,balanced,boundary,0.35,0.25,0.25,"high_gap_low_repair,q4_boundary","ETTh1/DLinear/96,ETTh1/PatchTST/192,ETTh1/PatchTST/96,ETTm1/DLinear/192,ETTm1/DLinear/96,ETTm1/PatchTST/192,ETTm1/PatchTST/96",False
